date,close,high,low,filecoin_volume,energy_used
2021-04-19,154.857834,164.51506,151.012817,2194829249,58932.32516
2021-04-20,153.701645,157.480453,145.356323,2182419056,56892.34351
2021-04-21,148.277863,158.477844,147.515305,1660844474,60038.83962
2021-04-22,145.826233,157.651306,144.745132,2004357354,59232.10093
2021-04-23,138.894791,147.893753,130.213318,2636435225,57867.09162
2021-04-24,133.53949,139.28334,131.397675,1340510563,58067.48015
2021-04-25,133.92662,136.744766,131.719498,947130301,59234.69321
2021-04-26,154.290405,154.690781,133.789566,1693345369,58941.17806
2021-04-27,152.286957,155.019791,148.680679,1201165878,56953.62904
2021-04-28,150.940002,155.664276,146.650131,1077547043,53730.00022
2021-04-29,149.798523,152.016602,147.728943,939555056,57261.52404
2021-04-30,163.893555,164.475845,149.691803,1827451213,56998.38264
2021-05-01,164.376724,167.265472,161.229935,1100844275,56802.49393
2021-05-02,162.581589,166.657379,157.041824,1041944826,55261.69834
2021-05-03,160.305832,163.853241,158.964005,1034803009,59721.45588
2021-05-04,140.924927,160.416306,135.802155,1731008815,57916.24722
2021-05-05,152.309418,154.442261,139.881348,1448763823,56911.56555
2021-05-06,153.511963,164.764359,149.837173,2210232709,57862.34725
2021-05-07,150.427643,154.886475,147.544891,1156418679,58675.93349
2021-05-08,148.015884,154.035385,146.39357,997835908,61105.5894
2021-05-09,146.416107,149.529892,141.277969,1060946907,60265.83576
2021-05-10,135.719299,149.252686,130.172775,1306838547,59670.05038
2021-05-11,143.126099,143.19809,134.327011,1089890299,62955.45385
2021-05-12,126.860405,145.524979,126.860405,1247505379,61130.8275
2021-05-13,117.703171,127.037132,91.444763,3823184458,61179.34725
2021-05-14,120.49752,124.732735,114.055061,1506617607,60696.74202
2021-05-15,110.35968,122.739479,110.032875,1295389301,58173.71493
2021-05-16,107.695923,115.824257,100.345963,1328009460,62497.98889
2021-05-17,99.48632,107.830719,93.84285,1506412463,59870.14544
2021-05-18,100.091484,105.909431,97.092796,1203826450,62834.7414
2021-05-19,65.360855,101.560616,55.122223,2849056807,63261.68587
2021-05-20,89.00901,94.654335,61.294849,3055089930,63107.71392
2021-05-21,76.721237,94.754494,67.995964,2081107862,60297.9214
2021-05-22,72.308556,77.403679,67.006325,1365775483,59222.71001
2021-05-23,65.106728,74.737381,55.423363,1737007698,62002.22659
2021-05-24,74.780365,75.178062,62.760204,1740396248,60171.58418
2021-05-25,71.935547,79.586296,66.101585,1467801610,60224.21246
